                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7146,                 4.6874,                 1.4623,                0.00254,                0.82692,                0.00571,                0.00218,                 1.6998,                  4.001,                 1.3343,                0.00056,                0.00056,                0.00056
                      2,                 1.4554,                 3.0141,                 1.2511,                0.71325,                0.43269,                0.46237,                0.24164,                 1.7078,                 3.3996,                 1.3998,              0.0010271,              0.0010271,              0.0010271
                      3,                 1.3666,                 2.5301,                 1.1796,                0.70522,                0.41346,                0.50329,                0.25342,                 1.7268,                 2.8386,                 1.3948,              0.0013794,              0.0013794,              0.0013794
                      4,                 1.3557,                 2.2477,                 1.1916,                0.46864,                    0.5,                0.37469,                0.12343,                 2.0944,                 2.9037,                 1.6434,               0.001406,               0.001406,               0.001406
                      5,                 1.2799,                 1.9711,                 1.1472,                0.74965,                0.65385,                0.70154,                0.38376,                 1.5956,                 1.8001,                 1.2688,               0.001406,               0.001406,               0.001406
                      6,                 1.2597,                 1.6695,                 1.1619,                0.82256,                0.65385,                0.76035,                0.43288,                 1.4906,                 1.6766,                 1.2397,               0.001208,               0.001208,               0.001208
                      7,                  1.206,                 1.5304,                 1.0842,                0.85017,                  0.875,                0.93276,                 0.6241,                 1.1674,                 1.1667,                 1.0777,                0.00101,                0.00101,                0.00101
                      8,                 1.0585,                 1.3041,                 1.0344,                0.95593,                0.83426,                0.91177,                 0.5839,                 1.2796,                 1.0897,                  1.139,               0.000812,               0.000812,               0.000812
                      9,                0.97952,                  1.171,                 1.0016,                0.95451,                0.85577,                0.94647,                 0.6869,                 1.0712,                0.92532,                 1.0437,               0.000614,               0.000614,               0.000614
                     10,                0.88984,                 1.0309,                0.97208,                0.93121,                0.91115,                0.94512,                0.70966,                0.93227,                0.84017,                 1.0088,               0.000416,               0.000416,               0.000416
